filename,status,role,year,title,canonical_url,publication_doi,pages,sha256,notes
2013_wu_wang_integral_present.pdf,verified_pdf,strong_baseline,2013,"Integral Attacks on Reduced-Round PRESENT",https://doi.org/10.1007/978-3-319-02726-5_24,10.1007/978-3-319-02726-5_24,15,09af74d0a62cf051847314fb373b2b6a989826423ab5a17b60fdd3700f7fe311,"PRESENT-specific classical integral reference; text extracted with pdftotext -layout"
2015_todo_division_property.pdf,verified_pdf,strong_baseline,2015,"Structural Evaluation by Generalized Integral Property",https://doi.org/10.1007/978-3-662-46800-5_12,10.1007/978-3-662-46800-5_12,28,190c9a730d2230e9be1a607c4f88aa78ae3b15a70d02b8f249dc317d2920e633,"foundational division-property paper; text extracted with pdftotext -layout"
2016_xiang_milp_integral_lightweight.pdf,verified_pdf,strong_baseline,2016,"Applying MILP Method to Searching Integral Distinguishers Based on Division Property for 6 Lightweight Block Ciphers",https://doi.org/10.1007/978-3-662-53887-6_24,10.1007/978-3-662-53887-6_24,31,a0f4d9b887ede49a72ecf8391b0f61af864c1c46b343b7408630319864e9518b,"includes the 9-round PRESENT integral baseline; text extracted with pdftotext -layout"
2021_kimura_output_prediction_block_ciphers.pdf,verified_pdf,direct_core,2022,"Output Prediction Attacks on Block Ciphers Using Deep Learning",https://eprint.iacr.org/2021/401,10.1007/978-3-031-16815-4_15,33,b337605d20f7d43ebc628277050183377a4066bd028a26aece1ba9edd3ece299,"foundational neural output-prediction protocol; local verified copy reused after canonical PDF endpoint returned Cloudflare HTML"
2022_fast_milp_division_property.pdf,verified_pdf,strong_baseline,2022,"Fast MILP Models for Division Property",https://doi.org/10.46586/tosc.v2022.i2.289-321,10.46586/tosc.v2022.i2.289-321,33,d982c48270287d8ea4e9c10ee282fcbd7faf6f64f960f580fd984fc32f9c5a03,"modern efficient division-property baseline; text extracted with pdftotext -layout"
2022_hadipour_eichlseder_warp_monomial_prediction.pdf,verified_pdf,strong_baseline,2022,"Integral Cryptanalysis of WARP based on Monomial Prediction",https://doi.org/10.46586/tosc.v2022.i2.92-112,10.46586/tosc.v2022.i2.92-112,21,7d91c3dcd5bdd1819dac4469951408b6470ab7fd5d49a97b6366ebcce5fe071d,"generalized output-combination and monomial-prediction baseline; text extracted with pdftotext -layout"
2023_kimura_deeper_output_prediction_weak_spn.pdf,verified_pdf,direct_core,2023,"A Deeper Look into Deep Learning-based Output Prediction Attacks Using Weak SPN Block Ciphers",https://www.jstage.jst.go.jp/article/ipsjjip/31/0/31_550/_article,10.2197/ipsjjip.31.550,12,c7296c61c7b0c78f49a06737c66086c6b7a1c7c7734e5fcf16a9faabc57637c4,"weak-SPN output-prediction boundary; publisher PDF"
2023_beyne_verbauwhede_algebraic_transition_matrices.pdf,verified_pdf,strong_baseline,2023,"Integral Cryptanalysis Using Algebraic Transition Matrices",https://doi.org/10.46586/tosc.v2023.i4.244-269,10.46586/tosc.v2023.i4.244-269,26,79db0979a4d0fbc583caef02e2b0e4ddf13130ba2a9d0346c819069e83ac491f,"PRESENT-relevant algebraic transition matrix baseline; text extracted with pdftotext -layout"
2024_watanabe_output_prediction_symmetric_ciphers.pdf,verified_pdf,direct_core,2024,"On the Effects of Neural Network-based Output Prediction Attacks on the Design of Symmetric-key Ciphers",https://eprint.iacr.org/2024/1310,10.1007/978-3-031-76934-4_13,30,92f7aa9174215a84befbe58b35e30806249c1393088f073b0da6dc5d1ffaf055,"output prediction connected to diffusion and integral ALL/BALANCE behavior; archived canonical PDF copy"
2024_hadipour_improved_integral_search.pdf,verified_pdf,strong_baseline,2024,"Improved Search for Integral, Impossible Differential and Zero-Correlation Attacks",https://doi.org/10.46586/tosc.v2024.i1.234-325,10.46586/tosc.v2024.i1.234-325,92,c49f8fdc81c5898a446a6a0e7726ce5d63b9a62b2a1dc155399a61b3052ad0c3,"modern automated-search baseline with PRESENT applications; text extracted with pdftotext -layout"
2024_wu_guo_integral_neural_present.pdf,verified_pdf,direct_core,2024,"Improved integral neural distinguisher model for lightweight cipher PRESENT",https://doi.org/10.1186/s42400-024-00258-0,10.1186/s42400-024-00258-0,14,c75ebdd9361deb3aa9a1860a78d47697aaa4546ee6af25760c6ca01d6f19e3a8,"current direct PRESENT r8 neural-integral anchor; identical hash to the existing Innovation 1 copy"
2025_singh_present_full_round_emulation.pdf,verified_pdf,adjacent,2025,"PRESENT Full Round Emulation: Structural Flaws and Predictable Outputs",https://eprint.iacr.org/2025/1069,,14,5c763a7812946150859cbfc13f20a93ebb73ef8d987de8e09e649fa28b9249be,"adjacent public-transform emulation; AddRoundKey is removed and this is not a keyed PRESENT attack"
